"num","clean"
1,bus-driver
2,software-engineer
3,researcher
4,program-advisor
5,midwife
6,courier
7,dentist
8,lead-hand-warehouse-dept
9,sales-coordinator
10,sr-manager-of-communications
11,event-planner
12,patient-care-attendant
13,packaging-associate
14,human-resources-specialist
15,well-site-supervisor
16,geological-technician
17,automotive-technician
18,mine-manager
19,heavy-equipment-operator
20,long-shore-worker
21,paramedic
22,truck-driver
23,early-childhood-educator
24,mill-worker
25,carpenter
26,sawmill-operator
27,electrician
28,social-development-manager
29,grounds-maintenance-worker
30,restaurant-manager
31,school-principal
32,helicopter-pilot
33,dental-assistant
34,physiotherapist
35,vineyard-manager
36,biologist
37,retail-salesperson
38,clinical-psychologist
39,registered-nurse
40,pharmacist
41,cook
42,baker
43,food-and-beverage-server
44,paralegal
45,lawyer
46,registered-animal-health-technician
47,registered-clinical-counsellor
48,information-systems-professional
49,civil-engineer
50,general-practitioner
51,occupational-therapist
52,geologist
53,power-engineer
54,ironworker
55,landscape-horticulturalist
56,pipefitter
57,machinist
58,refrigeration-and-air-conditioning-mechanic
59,instrument-mechanic
60,heavy-duty-equipment-mechanic
61,hairstylist
62,building-inspector
63,medical-laboratory-technologist
64,firefighter
65,land-surveyor
66,dietitian
67,certified-personal-trainer
68,vocational-instructor
69,forester
70,deputy-harbour-master
71,tug-master
72,deck-hand
73,silviculturist
74,butcher
75,employment-case-manager
76,facility-operations-and-maintenance-manager
77,registered-massage-therapist
78,community-planner
79,boat-builder
80,real-estate-agent
81,graphic-designer
82,journalist
83,librarian
84,conservation-officer
85,brew-master
86,customs-broker
87,designer-furniture-maker
88,web-developer
89,chief-economist
90,special-effects-makeup-artist
91,fashion-designer
92,producer
93,camera-operator
94,chief-financial-officer
95,conductor
96,receptionist
97,university-professor
98,human-resources-manager
99,advertising-marketer
100,police-officer
101,licensed-practical-nurse
102,respiratory-therapist
103,social-and-community-service-worker
104,chef
105,construction-millwright
106,construction-manager
107,retail-manager
108,chartered-professional-accountant
109,welder
110,account-manager
111,bookkeeper
112,web-developer-1
113,software-developer
114,optician
115,architects
116,accounting-clerk
117,nurse-practitioner
118,executive-assistant
119,electrical-engineer
120,boom-operator
121,computer-network-technician
122,medical-sonographer
123,author
124,retail-sales-supervisor
125,computer-numerically-controlledmachine-operator
126,dental-hygienist
127,user-support-technician
128,insurance-broker
129,natural-science-policy-program-manager
130,home-support-worker
131,general-office-support-worker
132,managing-editor
133,drafting-technician
134,audio-video-technician
135,psychiatrist
136,home-child-care-provider
137,recreation-sport-and-fitness-program-director
138,tattoo-artist
139,social-policy-consultant
140,health-and-safety-consultant
141,legal-administrative-assistant
142,chemistry-lab-manager
143,home-and-building-renovations-manager
144,account-manager-1
145,production-manager
146,security-officer
147,teachers-assistant
148,interior-designer
149,engineering-manager
150,robotics-engineer
151,chiropractor
152,technical-sales-consultant
153,electrical-technologist
154,photographer
155,compost-coordinator
156,operations-manager
157,optometrist
158,laboratory-technologist
159,nursery-and-greenhouse-worker
160,medical-office-assistant
161,gas-fitter
162,financial-sales-representative
163,plumber
164,corporate-sales-manager
165,sheet-metal-worker
166,acupuncturist
167,audiologist
168,audio-visual-technician-project-manager
169,aircraft-maintenance-engineer
170,registered-dietitian
171,director-of-counselling
172,landscape-architect
173,water-treatment-plant-supervisor
174,veterinarian
