"Title","Subtitle","Description"
"Artistic","Creators","People with artistic interests like work that deals with the artistic side of things, such as acting, music, art and design.

They like:

- Creativity in their work.
- Work that can be done without following a set of rules."
"Conventional","Organizers","People with conventional interests like work that follows set procedures and routines. They prefer working with information and paying attention to details rather than working with ideas.

They like:

- Working with clear rules.
- Following a strong leader."
"Enterprising","Persuaders","People with enterprising interests like work that has to do with starting up and carrying out business projects. They like taking action rather than thinking about things.

They like:

- Persuading and leading people.
- Making decisions.
- Taking risks for profits."
"Investigative","Thinkers","People with investigative interests like work that has to do with ideas and thinking rather than physical activity or leading people.

They like:

- Searching for facts.
- Figuring out problems."
"Realistic","Doers","People with realistic interests like work that includes practical, hands-on problems and answers. They often do not like careers that involve paperwork or working closely with others.

They like:

- Working with plants and animals.
- Real-world materials like wood, tools, and machinery.
- Outside work."
"Social","Helpers","People with social interests like working with others to help them learn and grow. They like working with people more than working with objects, machines or information.

They like:

- Teaching.
- Giving advice.
- Helping and being of service to people."
